name,aliases,slug,tier,sourceGroup,category,website,logoUrl,whatTheyDo,whatTheyDo_method,whatTheyDo_variant,whatTheyDo_sourceUrl,whatTheyDo_fetchedAt,whatTheyDo_writer,whatTheyDo_note,useCases,useCases_method,useCases_basis,useCases_fetchedAt,useCases_writer,useCases_note,whatTheyDo_unsourced,useCases_unsourced,unsourced_method,unsourced_confidence,unsourced_writer,unsourced_note,confidence,confidenceScore,confidence_method,confidence_originalValue,confidence_thresholds,confidence_note,logoUrl_method,logoUrl_sourceUrl,sourceUrl,extractedAt,lastSeenAt,status,isDataArtifact,year,recordId
BUSINESS NEXT,,business-next,Exhibitor,Exhibitors,other,https://www.businessnext.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/9577f0b7-e30f-4e96-9e43-cd0a0b92c1c1-BusinessNext.png,Accelerate your digital transformation with BUSINESSNEXT,direct-meta-description,,https://www.businessnext.com/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9cae
CamsPay,,camspay,Exhibitor,Exhibitors,payments,https://camspay.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/7cc758c0-55db-432b-90fd-924eb1507af8-camspay-website-logo.png,CAMSPay is the panoptic platform for payments. A robust and secure full stack platform for the BFSI sector to safely accept payments across multiple channels.,direct-meta-description,,https://camspay.com/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9caf
Canara Bank,,canara-bank,Exhibitor,Exhibitors,banking,https://www.canarabank.bank.in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/2cc572d8-1135-4dfe-84f6-20c282eb3fbd-canarabank.png,"Canara Bank offers personal & corporate banking services including accounts, loans, cards, deposits, net banking & more to meet your financial needs.",direct-meta-description,,https://www.canarabank.bank.in/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,digital lending,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9cb0
Canso.AI,,canso-ai,Exhibitor,Exhibitors,ai,https://www.canso.ai/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/daaf18ec-0873-43d9-ba3b-ab55b3ec47f4-Canso.ai.png,Reimagine fraud control with CansoAI. Leverage AI agents and MLOps to detect and prevent fraud with real-time insights and automation.,direct-meta-description,,https://www.canso.ai/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,fraud prevention;analytics and reporting;AI and automation,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9cb1
Cashfree Payments,,cashfree-payments,Gold Partner,Partners,payments,https://www.cashfree.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/30290105-0654-421c-9bbc-da6f6cafedd2-cashfree-payments-website-logo.png,"Payments & checkout solution provider for e-commerce, SaaS, Travel, Edtech & Fintech - go live fast, convert more, & collect domestic and international payments",apify:apify/website-content-crawler,meta-description,https://www.cashfree.com/,2026-08-12T13:30:52Z,,,cross-border payments;cloud infrastructure,phrase-match:whatTheyDo,apify:apify/website-content-crawler,2026-08-12T13:32:27Z,,,"Indian payments and API banking company offering payment gateway, instant payouts, verification suite and subscription billing.",Online payment gateway for merchants;Instant bulk payouts and refunds;Bank account and KYC verification APIs;Recurring subscription billing via eNACH and UPI AutoPay,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,0.75,normalised-from-numeric,0.75,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6b77b652fb8e4842f37f
CCIL,,ccil,Exhibitor,Exhibitors,other,https://www.ccilindia.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/126789ff-f580-4e1c-a4d2-f7d1fe0a5311-ccil.png,Home - CCIL - The Clearing Corporation of India Limited,apify:apify/website-content-crawler,homepage-body-text,https://www.ccilindia.com/,2026-08-12T13:30:52Z,,,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9cb2
CDSL,,cdsl,Exhibitor,Exhibitors,other,https://www.cdslindia.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/f564148e-aa0d-4b8f-95e8-233f613b8079-CDSL.png,"Central Depository Services Limited, is the second Indian central securities depository based in Mumbai.",direct-meta-description,,https://www.cdslindia.com/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,trading and brokerage,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9cb3
Chat360,,chat360,Bronze Partner,Partners,other,https://www.chat360.io/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/2f54640b-58c4-4565-9684-73e6def178c6-Chat360.png,"Chat360 is an Agentic AI-powered chatbot platform to automate customer support, lead generation & engagement across WhatsApp, Web, Voice, and social media.",apify:apify/website-content-crawler,meta-description,https://www.chat360.io/,2026-08-12T13:30:52Z,,,customer communication;AI and automation,phrase-match:whatTheyDo,apify:apify/website-content-crawler,2026-08-12T13:32:27Z,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9cb4
CHUBB,,chubb,Exhibitor,Exhibitors,other,https://www.chubb.com/us-en/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/e62bda52-adcd-4913-a434-d69539dd21c0-Chubb.png,Protect what matters most with Chubb’s personal and business insurance solutions. Discover tailored coverage and get your personalized quote today.,direct-meta-description,,https://www.chubb.com/us-en/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,insurance distribution,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9cb5
CIBE,,cibe,Ecosystem,Ecosystem,other,,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/67fd087c-e09c-47a1-81ec-fdd2d0ccd39e-CIBE.png,,,,,,,,,,,,,,,,,,,,low,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9cb6
Cisco,,cisco,Gold Partner,Partners,infra,https://www.cisco.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/49901630-0cf3-4f9c-b09b-6f4f4a8c5d79-cisco.png,"Cisco is a worldwide technology leader powering an inclusive future for all. Learn more about our products, services, solutions, and innovations.",apify:apify/website-content-crawler,meta-description,https://www.cisco.com/,2026-08-12T13:30:52Z,,,,unsourced,,,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified","Global networking and security technology company supplying the network, data centre and cybersecurity infrastructure banks run on.",Secure branch and data centre networking;Zero-trust security for financial institutions;Network observability for payment systems;Contact centre infrastructure for banks,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,0.75,normalised-from-numeric,0.75,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6b77b652fb8e4842f384
Citi,,citi,Banking Innovation Partner,Partners,banking,https://www.citigroup.com/global/about-us/global-presence/india,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/038c9932-275d-4cad-83d4-d5430245212e-Citi.png,Global bank,curated-public-facts,,,earlier-in-this-session,,,corporate banking;treasury services;cross-border payments,phrase-match:whatTheyDo,,,,,"Global bank providing institutional banking, treasury and trade solutions, securities services and markets across around 100 countries.",Global treasury and cash management;Cross-border payments for corporates;Securities services and custody;Trade finance and supply chain finance,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",high,0.75,normalised-from-numeric,0.75,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6b77b652fb8e4842f36b
City Union Bank,,city-union-bank,Exhibitor,Exhibitors,banking,https://www.cityunionbank.bank.in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/b71f009a-0cb6-4325-aa2c-b299f735ad23-CityUnionBank.png,"City Union Bank offers a full suite of banking services - savings & current accounts, fixed & recurring deposits, home & personal loans, NRI services, net banking & mobile banking. Secure, smart, everywhere.",direct-meta-description,,https://www.cityunionbank.bank.in/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,digital lending,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9cb7
Cleartax.ai,,cleartax-ai,Exhibitor,Exhibitors,ai,https://www.clear.in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/18a0b08a-3c21-49bd-8345-76e8fdfa9f44-Clear.png,"Clear - India’s largest tax and financial services software platform. Discover our software products and solutions for ITR filing, e-Invoicing, GST and e-Way Bill compliance, invoicing and billing, Max ITC, Taxcloud, invest, TDS & expert services.",direct-meta-description,,https://www.clear.in/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,AML and compliance,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9cb8
CleverTap,,clevertap,Gold Partner,Partners,infra,https://clevertap.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/93899fed-8b3f-4afc-bdde-fbb3b466d999-CleverTap.png,"Engage your customers like never before with CleverTap’s all-in-one customer engagement platform. From personalized messaging to automated campaigns, CleverTap platform offers a suite of powerful tools to help you connect with your audience at every stage of the customer journey. Get started with CleverTap today.",direct-meta-description,,https://clevertap.com/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,customer communication,phrase-match:whatTheyDo,,,,,"Customer engagement and retention platform providing analytics, segmentation and omnichannel campaign automation for consumer apps including fintechs.","User retention campaigns for fintech apps;Onboarding funnel analytics and drop-off reduction;Personalised product cross-sell;Push, email and in-app engagement orchestration",unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,0.75,normalised-from-numeric,0.75,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6c0fb652fb8e4842f38c
Cockroach labs,Cockroach Labs,cockroach-labs,Bronze Partner,Partners,other,https://www.cockroachlabs.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/c5e11f9d-04de-416c-a65e-b73f107cd36d-cockroachDB.png,"CockroachDB is a distributed database with standard SQL for cloud applications. CockroachDB powers companies like Comcast, Lush, and Bose.",direct-meta-description,,https://www.cockroachlabs.com/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,cloud infrastructure,phrase-match:whatTheyDo,,,,,"Company behind CockroachDB, a distributed SQL database offering strong consistency and survivability for transactional financial workloads.",Distributed ledger and core transaction storage;Multi-region data residency compliance;Zero-downtime payment system scaling;Resilient database for banking workloads,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9cb9
Comviva,,comviva,Bronze Partner,Partners,infra,https://www.comviva.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/1eae9002-4d22-4ad5-b078-d80e3875aacd-Comviva.png,"At Comviva, we go beyond technology, we create intelligent software platforms that drive real business impact at scale. As a global leader in FinTech, MarTech, DigiTech, and RevTech, we empower businesses to simplify complexity, unlock growth, and transform customer experiences.",direct-meta-description,,https://www.comviva.com/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,,unsourced,,,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified","Digital solutions company providing mobile money, digital payments and customer engagement platforms to telcos and banks in emerging markets.",Mobile money platforms for emerging markets;Digital wallet and merchant payment infrastructure;Card management and issuing systems;Customer engagement and loyalty for banks,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,0.7,normalised-from-numeric,0.7,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6c0fb652fb8e4842f3af
